epoch,loss,val_loss
0,676.6929718794521,446.8194771902902
1,549.2719474989727,623.5994716099331
2,471.60023816238385,615.121337890625
3,410.6035038443837,718.6511003766741
4,345.40540054288164,580.7266444614955
5,279.41027150550303,421.6603018624442
6,220.48591609854705,164.2002685546875
7,161.88749547566516,274.50382341657365
8,118.76403134039033,688.9485892159598
9,95.77927779473801,267.9653843470982
10,79.56313015606739,175.85819832938057
11,72.13544013454572,214.7562491280692
12,68.9019863331179,57.0372817993164
13,64.57668029050373,77.84228820800782
14,63.057623373678695,121.36615862165179
15,65.18307535470014,59.49171752929688
16,60.78064488376507,52.33329729352678
17,61.291168243757525,31.68735776628767
18,57.89260297059683,34.079515075683595
19,58.35692008082298,60.60449066162109
20,59.113437674420574,62.669976806640626
21,56.890414809954805,30.089720262799943
22,55.55791945125263,32.74609124319894
23,55.190319162914214,49.918441445486884
24,55.09606902425708,30.976106807163784
25,54.15737003336203,33.312635912214006
26,53.44537844299352,32.9347537449428
27,50.57571757369101,40.560472760881694
28,53.13835861585492,39.77895224434989
29,49.98416521950589,44.88005828857422
30,51.647382849510166,30.940460750034877
31,50.90095679623995,30.884477778843472
32,51.11862658268605,34.90013580322265
33,49.58392105644592,42.394780840192524
34,50.62186837219877,31.97011707850865
35,50.73804131781347,30.686988721575055
36,51.492543545939974,62.37235129220145
37,51.217456226638724,30.46473595755441
38,46.725252534314116,34.652382550920755
39,49.30163820401108,36.798560333251956
40,48.47708444499349,30.469656808035715
41,47.826908436051156,30.3514773777553
42,49.03365752643821,31.340798841203963
43,47.732258980575814,56.175253077915734
44,46.48351085400097,34.53797912597656
45,44.90265154720929,29.83074220929827
46,44.75033253891265,34.34649440220424
47,45.69225725949764,37.027891867501395
48,46.0539951222828,31.296077946254186
49,45.91239019077347,48.86017281668527
50,46.55888986220509,43.94278935023716
51,45.411925607022155,34.42896532331194
52,45.17512132920573,33.65112577165876
53,44.607522177371564,29.558094133649554
54,45.49602399080351,40.949824523925784
55,44.2250809572565,33.49086303710938
56,45.280332553638424,37.13829596383231
57,44.50189753634609,34.78541630336216
58,43.09279885752233,32.41195362636021
59,44.91121022141801,32.93921388898577
60,46.29803266387873,33.44567903791155
61,47.20030725018758,29.74639162336077
62,43.45204015490523,30.756950160435267
63,45.09023710649489,34.32290867396763
64,43.21242053489467,35.4952770778111
65,42.73923761726532,43.402320861816406
66,43.48465252731923,35.26236343383789
67,42.614631637775005,29.694144984654017
68,42.19017092048099,31.605479104178293
69,41.303413600405925,32.33838860648019
70,42.32693365656791,33.97302169799805
71,39.924517930224496,32.76909964425223
72,43.26644357967734,63.829964773995535
73,43.28444883031489,32.02570484706334
74,41.682001245264146,30.453281947544642
75,41.47465261350563,30.327963256835936
76,38.12239026825692,32.71973430088588
77,40.51971657336852,32.77454790387835
78,39.87335919797456,33.02168415614537
79,39.34638657917138,36.50965009416853
80,42.68450451179536,32.73449717930385
81,40.99734092563338,47.12008470807757
82,41.31412093842173,30.731900787353517
83,39.74146169869886,32.24519348144531
84,39.319426168980435,33.26416495186942
85,40.48647605274141,30.67308774675642
86,39.88641447952237,33.50105361938476
87,40.568758216769076,32.75660618373326
88,38.48490883778462,36.66858378819057
89,38.654595469355655,39.11496778215681
90,39.616461291029914,48.2488274710519
91,36.938102177856514,40.55811048235212
92,39.19935650295682,30.41269803728376
93,38.90745341276685,37.72312502179827
94,38.383991362664126,36.99906365530831
95,39.343688383642586,35.85056577410017
96,38.75725539308905,43.22577841622489
97,39.14839552929586,31.387797437395367
98,38.609925605287586,31.095355333600725
99,36.71811106004069,32.502579062325616
